Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       132 , -9.540466688E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       133 , -9.540466672E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       134 , -9.540466656E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       135 , -9.540466640E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       136 , -9.540466624E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       137 , -9.540466608E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       138 , -9.540466592E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       139 , -9.540466577E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       140 , -9.540466561E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       141 , -9.540466545E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       142 , -9.540466529E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       143 , -9.540466513E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       144 , -9.540466497E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       145 , -9.540466481E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       146 , -9.540466465E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       147 , -9.540466449E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       148 , -9.540466433E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       149 , -9.540466418E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       150 , -9.540466402E+21 , +0.000000000E+00 , +0.000000000E+00 , 1.0000000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
