Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
        78 , +7.769698897E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        79 , +7.860044233E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        80 , +7.950389569E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        81 , +8.040734905E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        82 , +8.131080241E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        83 , +8.221425577E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        84 , +8.311770913E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        85 , +8.402116249E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        86 , +8.492461585E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        87 , +8.582806921E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        88 , +8.673152257E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        89 , +8.763497593E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        90 , +8.853842929E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        91 , +8.944188265E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        92 , +9.034533601E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        93 , +9.937986961E+11 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        94 , +1.084144032E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        95 , +1.174489368E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        96 , +1.264834704E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        97 , +1.355180040E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        98 , +1.445525376E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        99 , +1.535870712E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       100 , +1.626216048E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       101 , +1.716561384E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       102 , +1.806906720E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       103 , +1.897252056E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       104 , +1.987597392E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       105 , +2.077942728E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       106 , +2.168288064E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       107 , +2.258633400E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       108 , +2.348978736E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       109 , +2.439324072E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       110 , +2.529669408E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       111 , +2.620014744E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       112 , +2.710360080E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       113 , +2.800705416E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       114 , +2.891050752E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       115 , +2.981396088E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       116 , +3.071741424E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       117 , +3.162086760E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       118 , +3.252432096E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       119 , +3.342777432E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       120 , +3.433122768E+12 , +0.000000000E+00 , +0.000000000E+00 , 1.7600000E+03 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
