Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
       144 , -3.016960407E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       145 , -3.016960402E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       146 , -3.016960397E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       147 , -3.016960392E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       148 , -3.016960387E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       149 , -3.016960382E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       150 , -3.016960377E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       151 , -3.016960372E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       152 , -3.016960367E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       153 , -3.016960362E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       154 , -3.016960357E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       155 , -3.016960352E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       156 , -3.016960347E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       157 , -3.016960342E+19 , +0.000000000E+00 , +0.000000000E+00 , 3.1622777E+05 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
