150,H2,D2,,H,HD,D,,5.00E-10,0.00,84100.0,,,,,
151,H2,D2,,H,D2,H,,2.50E-10,0.00,84100.0,,,,,
152,H2,D2,,D,H2,D,,2.50E-10,0.00,84100.0,,,,,
153,H2,CH,,C,H2,H,,6.00E-09,0.00,40200.0,,,,,
154,H2,CH,,CH2,H,,,2.38E-10,0.00,1760.0,,,,,
155,H2,CD,,C,H2,D,,2.00E-09,0.00,40200.0,,,,,
156,H2,CD,,C,HD,H,,4.00E-09,0.00,40200.0,,,,,
157,H2,CD,,CH2,D,,,1.59E-10,0.00,1760.0,,,,,
158,H2,CD,,CHD,H,,,7.93E-11,0.00,1760.0,,,,,
159,H2,CH2,,CH3,H,,,5.18E-11,0.20,6400.0,,,,,
160,H2,NH,,NH2,H,,,5.96E-11,0.00,7782.0,,,,,
161,H2,CHD,,CH3,D,,,1.29E-11,0.20,6400.0,,,,,
162,H2,CHD,,CH2D,H,,,3.89E-11,0.20,6400.0,,,,,
163,H2,CH3,,CH4,H,,,6.86E-14,2.70,4740.0,,,,,
164,H2,ND,,NH2,D,,,1.99E-11,0.00,7782.0,,,,,
165,H2,ND,,NHD,H,,,3.97E-11,0.00,7782.0,,,,,
166,H2,CD2,,CHD2,H,,,5.18E-11,0.20,6400.0,,,,,
167,H2,NH2,,NH3,H,,,2.09E-12,0.00,4277.0,,,,,
168,H2,CH2D,,CH4,D,,,1.37E-14,2.70,4740.0,,,,,
169,H2,CH2D,,CH3D,H,,,4.12E-14,2.70,4740.0,,,,,
170,H2,OH,,O,H2,H,,6.00E-09,0.00,50900.0,,,,,
171,H2,OH,,H2O,H,,,1.55E-12,1.60,1660.0,,,,,
172,H2,NHD,,NH3,D,,,5.23E-13,0.00,4277.0,,,,,
173,H2,NHD,,NH2D,H,,,1.57E-12,0.00,4277.0,,,,,
174,H2,CHD2,,CH2D2,H,,,6.86E-14,2.70,4740.0,,,,,
175,H2,OD,,O,H2,D,,4.00E-09,0.00,50900.0,,,,,
176,H2,OD,,O,HD,H,,2.00E-09,0.00,50900.0,,,,,
177,H2,OD,,H2O,D,,,5.17E-13,1.60,1660.0,,,,,
178,H2,OD,,HDO,H,,,1.03E-12,1.60,1660.0,,,,,
179,H2,H2O,,OH,H2,H,,5.80E-09,0.00,52900.0,,,,,
180,H2,ND2,,NH2D,D,,,1.39E-12,0.00,4277.0,,,,,
181,H2,ND2,,NHD2,H,,,6.70E-13,0.00,4277.0,,,,,
182,H2,CD3,,CHD3,H,,,6.86E-14,2.70,4740.0,,,,,
183,H2,HDO,,OH,H2,D,,1.45E-09,0.00,52900.0,,,,,
184,H2,HDO,,OH,HD,H,,2.90E-09,0.00,52900.0,,,,,
185,H2,HDO,,OD,H2,H,,1.45E-09,0.00,52900.0,,,,,
186,H2,D2O,,OD,H2,D,,5.80E-09,0.00,52900.0,,,,,
187,H2,CN,,HCN,H,,,3.53E-13,3.30,756.0,,,,,
188,H2,O2,,O,O,H2,,6.00E-09,0.00,52300.0,,,,,
189,H2,O2,,OH,OH,,,3.16E-10,0.00,21890.0,,,,,
190,H2,CO2,,H2O,CO,,,2.94E-14,0.50,7550.0,,,,,
191,HD,H,,H2,D,,,7.50E-11,0.00,4240.0,,,,,
192,HD,H2,,H2,D,H,,5.00E-09,0.00,84100.0,,,,,
193,HD,H2,,HD,H,H,,5.00E-09,0.00,84100.0,,,,,
194,HD,HD,,H2,D,D,,2.50E-09,0.00,84100.0,,,,,
195,HD,HD,,HD,D,H,,5.00E-09,0.00,84100.0,,,,,
196,HD,HD,,D2,H,H,,2.50E-09,0.00,84100.0,,,,,
197,HD,D2,,HD,D,D,,5.00E-10,0.00,84100.0,,,,,
198,HD,D2,,D2,D,H,,5.00E-10,0.00,84100.0,,,,,
199,HD,CH,,C,H2,D,,2.00E-09,0.00,40200.0,,,,,
200,HD,CH,,C,HD,H,,4.00E-09,0.00,40200.0,,,,,
201,HD,CH,,CH2,D,,,1.59E-10,0.00,1760.0,,,,,
202,HD,CH,,CHD,H,,,7.93E-11,0.00,1760.0,,,,,
203,HD,CD,,C,HD,D,,4.00E-09,0.00,40200.0,,,,,
204,HD,CD,,C,D2,H,,2.00E-09,0.00,40200.0,,,,,
205,HD,CD,,CHD,D,,,2.38E-10,0.00,1760.0,,,,,
206,HD,CD,,CD2,H,,,1.19E-10,0.00,1760.0,,,,,
207,HD,CH2,,CH3,D,,,1.29E-11,0.20,6400.0,,,,,
208,HD,CH2,,CH2D,H,,,3.89E-11,0.20,6400.0,,,,,
209,HD,NH,,NH2,D,,,1.99E-11,0.00,7782.0,,,,,
210,HD,NH,,NHD,H,,,3.97E-11,0.00,7782.0,,,,,
211,HD,CHD,,CH2D,D,,,5.18E-11,0.20,6400.0,,,,,
212,HD,CHD,,CHD2,H,,,2.59E-11,0.20,6400.0,,,,,
213,HD,CH3,,CH4,D,,,1.37E-14,2.70,4740.0,,,,,
214,HD,CH3,,CH3D,H,,,4.12E-14,2.70,4740.0,,,,,
215,HD,ND,,NHD,D,,,3.97E-11,0.00,7782.0,,,,,
216,HD,ND,,ND2,H,,,1.99E-11,0.00,7782.0,,,,,
217,HD,CD2,,CHD2,D,,,2.59E-11,0.20,6400.0,,,,,
218,HD,CD2,,CD3,H,,,2.59E-11,0.20,6400.0,,,,,
219,HD,NH2,,NH3,D,,,5.23E-13,0.00,4277.0,,,,,
220,HD,NH2,,NH2D,H,,,1.57E-12,0.00,4277.0,,,,,
221,HD,CH2D,,CH3D,D,,,6.86E-14,2.70,4740.0,,,,,
222,HD,CH2D,,CH2D2,H,,,3.43E-14,2.70,4740.0,,,,,
223,HD,OH,,O,H2,D,,4.00E-09,0.00,50900.0,,,,,
224,HD,OH,,O,HD,H,,2.00E-09,0.00,50900.0,,,,,
225,HD,OH,,H2O,D,,,5.17E-13,1.60,1660.0,,,,,
226,HD,OH,,HDO,H,,,1.03E-12,1.60,1660.0,,,,,
227,HD,NHD,,NH2D,D,,,1.39E-12,0.00,4277.0,,,,,
228,HD,NHD,,NHD2,H,,,6.70E-13,0.00,4277.0,,,,,
229,HD,CHD2,,CH2D2,D,,,3.43E-14,2.70,4740.0,,,,,
230,HD,CHD2,,CHD3,H,,,3.43E-14,2.70,4740.0,,,,,
231,HD,OD,,O,HD,D,,4.00E-09,0.00,50900.0,,,,,
232,HD,OD,,O,D2,H,,2.00E-09,0.00,50900.0,,,,,
233,HD,OD,,HDO,D,,,1.55E-12,1.60,1660.0,,,,,
234,HD,OD,,D2O,H,,,7.75E-13,1.60,1660.0,,,,,
235,HD,H2O,,OH,H2,D,,1.45E-09,0.00,52900.0,,,,,
236,HD,H2O,,OH,HD,H,,2.90E-09,0.00,52900.0,,,,,
237,HD,H2O,,OD,H2,H,,1.45E-09,0.00,52900.0,,,,,
238,HD,ND2,,NHD2,D,,,1.57E-12,0.00,4277.0,,,,,
239,HD,ND2,,ND3,H,,,5.20E-13,0.00,4277.0,,,,,
240,HD,CD3,,CHD3,D,,,3.43E-14,2.70,4740.0,,,,,
241,HD,CD3,,CD4,H,,,3.43E-14,2.70,4740.0,,,,,
242,HD,HDO,,OH,HD,D,,1.66E-09,0.00,52900.0,,,,,
243,HD,HDO,,OH,D2,H,,8.30E-10,0.00,52900.0,,,,,
244,HD,HDO,,OD,H2,D,,1.66E-09,0.00,52900.0,,,,,
245,HD,HDO,,OD,HD,H,,1.66E-09,0.00,52900.0,,,,,
246,HD,D2O,,OD,HD,D,,5.80E-09,0.00,52900.0,,,,,
247,HD,CN,,HCN,D,,,1.77E-13,3.30,756.0,,,,,
248,HD,CN,,DCN,H,,,1.77E-13,3.30,756.0,,,,,
249,HD,O2,,O,O,HD,,6.00E-09,0.00,52300.0,,,,,
250,HD,O2,,OD,OH,,,3.16E-10,0.00,21890.0,,,,,
251,HD,CO2,,HDO,CO,,,2.94E-14,0.50,7550.0,,,,,
252,D2,D2,,D,D2,D,,1.00E-08,0.00,84100.0,,,,,
253,D2,CH,,C,HD,D,,4.00E-09,0.00,40200.0,,,,,
254,D2,CH,,C,D2,H,,2.00E-09,0.00,40200.0,,,,,
255,D2,CH,,CHD,D,,,2.38E-10,0.00,1760.0,,,,,
256,D2,CD,,C,D2,D,,6.00E-09,0.00,40200.0,,,,,
257,D2,CD,,CD2,D,,,2.38E-10,0.00,1760.0,,,,,
258,D2,CH2,,CH2D,D,,,5.18E-11,0.20,6400.0,,,,,
259,D2,NH,,NHD,D,,,3.97E-11,0.00,7782.0,,,,,
260,D2,NH,,ND2,H,,,1.99E-11,0.00,7782.0,,,,,
261,D2,CHD,,CHD2,D,,,5.18E-11,0.20,6400.0,,,,,
262,D2,CH3,,CH3D,D,,,6.86E-14,2.70,4740.0,,,,,
263,D2,ND,,ND2,D,,,5.96E-11,0.00,7782.0,,,,,
264,D2,CD2,,CD3,D,,,5.18E-11,0.20,6400.0,,,,,
265,D2,NH2,,NH2D,D,,,1.57E-12,0.00,4277.0,,,,,
266,D2,NH2,,NHD2,H,,,5.20E-13,0.00,4277.0,,,,,
267,D2,CH2D,,CH2D2,D,,,6.86E-14,2.70,4740.0,,,,,
268,D2,OH,,O,HD,D,,4.00E-09,0.00,50900.0,,,,,
269,D2,OH,,O,D2,H,,2.00E-09,0.00,50900.0,,,,,
270,D2,OH,,HDO,D,,,1.55E-12,1.60,1660.0,,,,,
271,D2,NHD,,NHD2,D,,,1.57E-12,0.00,4277.0,,,,,
272,D2,NHD,,ND3,H,,,5.20E-13,0.00,4277.0,,,,,
273,D2,CHD2,,CHD3,D,,,6.86E-14,2.70,4740.0,,,,,
274,D2,OD,,O,D2,D,,6.00E-09,0.00,50900.0,,,,,
275,D2,OD,,D2O,D,,,1.55E-12,1.60,1660.0,,,,,
276,D2,H2O,,OH,HD,D,,1.66E-09,0.00,52900.0,,,,,
277,D2,H2O,,OH,D2,H,,8.30E-10,0.00,52900.0,,,,,
278,D2,H2O,,OD,H2,D,,1.66E-09,0.00,52900.0,,,,,
279,D2,H2O,,OD,HD,H,,1.66E-09,0.00,52900.0,,,,,
280,D2,ND2,,ND3,D,,,2.09E-12,0.00,4277.0,,,,,
281,D2,CD3,,CD4,D,,,6.86E-14,2.70,4740.0,,,,,
282,D2,HDO,,OH,D2,D,,1.93E-09,0.00,52900.0,,,,,
283,D2,HDO,,OD,HD,D,,1.93E-09,0.00,52900.0,,,,,
284,D2,HDO,,OD,D2,H,,1.93E-09,0.00,52900.0,,,,,
285,D2,D2O,,OD,D2,D,,5.80E-09,0.00,52900.0,,,,,
286,D2,CN,,DCN,D,,,3.53E-13,3.30,756.0,,,,,
287,D2,O2,,O,O,D2,,6.00E-09,0.00,52300.0,,,,,
288,D2,O2,,OD,OD,,,3.16E-10,0.00,21890.0,,,,,
289,D2,CO2,,D2O,CO,,,2.94E-14,0.50,7550.0,,,,,
290,C,H2,,CH,H,,,6.64E-10,0.00,11700.0,,,,,
291,C,HD,,CH,D,,,3.32E-10,0.00,11700.0,,,,,
292,C,HD,,CD,H,,,3.32E-10,0.00,11700.0,,,,,
293,C,D2,,CD,D,,,6.64E-10,0.00,11700.0,,,,,
294,C,CH,,C2,H,,,1.73E-11,0.50,0.0,,,,,
295,C,CD,,C2,D,,,1.73E-11,0.50,0.0,,,,,
296,C,CH2,,C2H,H,,,5.00E-11,0.50,0.0,,,,,
297,C,NH,,CH,N,,,1.73E-11,0.50,4000.0,,,,,
298,C,NH,,CN,H,,,1.10E-10,0.50,0.0,,,,,
299,C,CHD,,C2H,D,,,2.50E-11,0.50,0.0,,,,,
300,C,CHD,,C2D,H,,,2.50E-11,0.50,0.0,,,,,
301,C,ND,,CD,N,,,1.73E-11,0.50,4000.0,,,,,
302,C,ND,,CN,D,,,1.10E-10,0.50,0.0,,,,,
303,C,CD2,,C2D,D,,,5.00E-11,0.50,0.0,,,,,
